name,slug,image
"دلیجان",delijan,"images/logos/brands/delijan.webp"
"بیبی لند",baby-land,"images/logos/brands/babyLand.webp"
"چیکو",chicco,"images/logos/brands/chicco.webp"
"فیروز",firooz,"images/logos/brands/firooz.webp"
