term_id,name,slug,description,parent
"804","کالسکه تک مبله","%da%a9%d8%a7%d9%84%d8%b3%da%a9%d9%87-%d8%aa%da%a9-%d9%85%d8%a8%d9%84%d9%87",,"803"
"805","کالسکه مسافرتی","%da%a9%d8%a7%d9%84%d8%b3%da%a9%d9%87-%d9%85%d8%b3%d8%a7%d9%81%d8%b1%d8%aa%db%8c",,"803"
"806","کریر حمل","%da%a9%d8%b1%db%8c%d8%b1-%d8%ad%d9%85%d9%84",,"773"
"808","تشک بازی","%d8%aa%d8%b4%da%a9-%d8%a8%d8%a7%d8%b2%db%8c",,"770"
"809","سرویس خواب کنار مادر","%d8%b3%d8%b1%d9%88%db%8c%d8%b3-%d8%ae%d9%88%d8%a7%d8%a8-%da%a9%d9%86%d8%a7%d8%b1-%d9%85%d8%a7%d8%af%d8%b1",,"770"
"810","سرویس خواب مسافرتی","%d8%b3%d8%b1%d9%88%db%8c%d8%b3-%d8%ae%d9%88%d8%a7%d8%a8-%d9%85%d8%b3%d8%a7%d9%81%d8%b1%d8%aa%db%8c",,"770"
"811","سرویس کالسکه","%d8%b3%d8%b1%d9%88%db%8c%d8%b3-%da%a9%d8%a7%d9%84%d8%b3%da%a9%d9%87",,"803"
"813","بلوز (تیشرت) شلوار","%d8%a8%d9%84%d9%88%d8%b2-%d8%b4%d9%84%d9%88%d8%a7%d8%b1-babyclothes",,"745"
"2269","خشک کن، زیرانداز، قنداق چسبی، پیشبند و سایر اقلام ...","%d8%ae%d8%b4%da%a9-%da%a9%d9%86-%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa-%d8%a8%d9%87%d8%af%d8%a7%d8%b4%d8%aa%db%8c%d8%8c-%d9%85%d8%b1%d8%a7%d9%82%d8%a8%d8%aa%db%8c%d8%8c-%d8%ad%d9%85%d8%a7%d9%85",,"771"
"2290","ست لباس سرویس باز","%d8%b3%d8%aa-%d9%84%d8%a8%d8%a7%d8%b3-%d8%b3%d8%b1%d9%88%db%8c%d8%b3-%d8%a8%d8%a7%d8%b2",,"745"
"2292","فلاسک","%d9%81%d9%84%d8%a7%da%a9%d8%b3",,"768"
"2296","ست لباس بیمارستانی 10 تکه","%d8%b3%d8%aa-10-%d8%aa%da%a9%d9%87",,"745"
"2299","یلدایی","%db%8c%d9%84%d8%af%d8%a7%db%8c%db%8c",,"745"
"2301","سبد های قیطانی","%d8%b3%d8%a8%d8%af-%d9%87%d8%a7%db%8c-%d9%82%db%8c%d8%b7%d8%a7%d9%86%db%8c",,"771"
"2303","آغوشی شیردهی (سوییسی)","%d8%a2%d8%ba%d9%88%d8%b4%db%8c-%d8%b4%db%8c%d8%b1%d8%af%d9%87%db%8c",,"770"
"2304","اسباب بازی و سرگرمی","%d8%a7%d8%b3%d8%a8%d8%a7%d8%a8-%d8%a8%d8%a7%d8%b2%db%8c-%d9%88-%d8%b3%d8%b1%da%af%d8%b1%d9%85%db%8c",,"771"
